Account Number,Account Name,Symbol,Description,Quantity,Last Price,Last Price Change,Current Value,Today's Gain/Loss Dollar,Today's Gain/Loss Percent,Total Gain/Loss Dollar,Total Gain/Loss Percent,Percent Of Account,Cost Basis Total,Average Cost Basis,Type
Y39614827,Joint WROS - TOD,RTX,RTX CORPORATION COM USD1.00,4.3773,$212.16,+$9.54,$928.68,+$41.76,+4.70%,+$386.22,+71.19%,0.53%,$542.46,$123.93,Cash
Y39614827,Joint WROS - TOD,VRT,VERTIV HOLDINGS CO COM CL A,2.0213,$257.75,+$2.86,$521.00,+$5.78,+1.12%,+$376.92,+261.60%,0.30%,$144.08,$71.28,Cash
Y39614827,Joint WROS - TOD,GS,GOLDMAN SACHS GROUP INC COM USD0.01,1.0670,$861.70,+$6.63,$919.44,+$7.07,+0.77%,+$363.17,+65.28%,0.53%,$556.26,$521.33,Cash
Y39614827,Joint WROS - TOD,PWR,QUANTA SERVICES COM USD0.00001,1.0670,$572.66,+$9.58,$611.03,+$10.22,+1.70%,+$356.70,+140.25%,0.35%,$254.33,$238.36,Cash
Y39614827,Joint WROS - TOD,GILD,GILEAD SCIENCES INC COM USD0.001,5.8506,$150.03,+$1.08,$877.76,+$6.32,+0.72%,+$353.47,+67.42%,0.50%,$524.29,$89.61,Cash
Y39614827,Joint WROS - TOD,MRK,MERCK &CO. INC COM,8.7204,$121.41,-$2.41,"$1,058.74",-$21.02,-1.95%,+$343.29,+47.98%,0.61%,$715.46,$82.04,Cash
Y39614827,Joint WROS - TOD,INTC,INTEL CORP COM USD0.001,13.1165,$45.50,-$0.11,$596.80,-$1.44,-0.25%,+$337.81,+130.43%,0.34%,$258.99,$19.75,Cash
Y39614827,Joint WROS - TOD,KO,COCA-COLA CO,17.8198,$80.22,-$1.34,"$1,429.50",-$23.88,-1.65%,+$333.76,+30.46%,0.82%,"$1,095.74",$61.49,Cash
Y39614827,Joint WROS - TOD,HWM,HOWMET AEROSPACE INC COM,2.3372,$265.11,+$2.58,$619.60,+$6.03,+0.98%,+$327.28,+111.96%,0.36%,$292.32,$125.08,Cash
Y39614827,Joint WROS - TOD,ABBV,ABBVIE INC COM USD0.01,5.8335,$234.26,+$2.18,"$1,366.56",+$12.72,+0.93%,+$311.63,+29.54%,0.78%,"$1,054.93",$180.84,Cash
Y39614827,Joint WROS - TOD,NFLX,NETFLIX INC,12.3243,$97.09,+$0.85,"$1,196.57",+$10.48,+0.88%,+$297.81,+33.13%,0.69%,$898.75,$72.93,Cash
Y39614827,Joint WROS - TOD,KEYS,KEYSIGHT TECHNOLOGIES INC COM USD0.01 WD,1.7857,$313.27,+$5.94,$559.42,+$10.61,+1.93%,+$296.91,+113.10%,0.32%,$262.50,$147.00,Cash
Y39614827,Joint WROS - TOD,C,CITIGROUP INC,6.0896,$111.45,+$1.26,$678.69,+$7.67,+1.14%,+$285.21,+72.48%,0.39%,$393.48,$64.62,Cash
Y39614827,Joint WROS - TOD,HAL,HALLIBURTON CO COM USD2.50,17.0584,$35.97,-$0.03,$613.59,-$0.51,-0.09%,+$269.86,+78.51%,0.35%,$343.73,$20.15,Cash
Y39614827,Joint WROS - TOD,ANET,ARISTA NETWORKS INC COM SHS,4.7716,$129.30,-$4.20,$616.97,-$20.04,-3.15%,+$266.97,+76.27%,0.35%,$350.00,$73.35,Cash
Y39614827,Joint WROS - TOD,CSCO,CISCO SYSTEMS INC,10.8595,$79.42,-$0.04,$862.46,-$0.44,-0.06%,+$266.86,+44.80%,0.49%,$595.60,$54.85,Cash
Y39614827,Joint WROS - TOD,LHX,L3HARRIS TECHNOLOGIES INC COM,1.4870,$378.48,+$13.94,$562.79,+$20.73,+3.82%,+$254.71,+82.67%,0.32%,$308.08,$207.18,Cash
Y39614827,Joint WROS - TOD,PM,PHILIP MORRIS INTERNATIONAL INC COM NPV,5.2787,$183.82,-$3.01,$970.33,-$15.89,-1.62%,+$245.14,+33.80%,0.56%,$725.18,$137.38,Cash
Y39614827,Joint WROS - TOD,AMGN,AMGEN INC,1.9496,$385.70,-$2.46,$751.97,-$4.80,-0.64%,+$244.44,+48.16%,0.43%,$507.53,$260.32,Cash
Y39614827,Joint WROS - TOD,ETN,EATON CORPORATION PLC,2.2416,$377.40,+$1.48,$845.96,+$3.32,+0.39%,+$242.27,+40.13%,0.49%,$603.69,$269.32,Cash
Y39614827,Joint WROS - TOD,JCI,JOHNSON CONTROLS INTERNATIONAL PLC COM USD1.00,3.5288,$145.46,+$1.16,$513.30,+$4.09,+0.80%,+$241.80,+89.06%,0.29%,$271.50,$76.94,Cash
Y39614827,Joint WROS - TOD,MCK,MCKESSON CORP,0.4661,$990.95,+$4.40,$461.85,+$2.05,+0.44%,+$224.02,+94.19%,0.26%,$237.83,$510.29,Cash
Y39614827,Joint WROS - TOD,NOC,NORTHROP GRUMMAN CORP COM USD1,0.7273,$768.02,+$43.64,$558.56,+$31.74,+6.02%,+$223.81,+66.86%,0.32%,$334.74,$460.27,Cash
Y39614827,Joint WROS - TOD,WFC,WELLS FARGO CO NEW COM,12.5326,$82.58,+$1.13,"$1,034.94",+$14.16,+1.38%,+$222.05,+27.31%,0.59%,$812.89,$64.86,Cash
Y39614827,Joint WROS - TOD,COP,CONOCOPHILLIPS COM,6.1664,$118.24,+$4.78,$729.12,+$29.47,+4.21%,+$218.53,+42.80%,0.42%,$510.58,$82.80,Cash
Y39614827,Joint WROS - TOD,HCA,HCA HEALTHCARE INC COM,0.9373,$532.92,+$3.22,$499.48,+$3.02,+0.60%,+$217.27,+76.99%,0.29%,$282.21,$301.10,Cash
Y39614827,Joint WROS - TOD,FCX,FREEPORT-MCMORAN INC COM USD0.10,6.5062,$68.29,+$0.21,$444.31,+$1.37,+0.30%,+$215.45,+94.14%,0.25%,$228.85,$35.17,Cash
Y39614827,Joint WROS - TOD,WELL,WELLTOWER INC COM,2.8596,$210.16,+$3.04,$600.97,+$8.69,+1.46%,+$206.62,+52.39%,0.34%,$394.35,$137.91,Cash
Y39614827,Joint WROS - TOD,CAH,CARDINAL HEALTH INC COM NPV,1.8523,$229.88,+$0.65,$425.81,+$1.20,+0.28%,+$199.63,+88.26%,0.24%,$226.18,$122.11,Cash
Y39614827,Joint WROS - TOD,CSX,CSX CORP COM USD1,13.1113,$43.17,+$0.48,$566.02,+$6.29,+1.12%,+$198.82,+54.14%,0.32%,$367.20,$28.01,Cash
Y39614827,Joint WROS - TOD,CVS,CVS HEALTH CORPORATION COM USD0.01,5.6269,$81.66,+$1.76,$459.50,+$9.90,+2.20%,+$195.71,+74.18%,0.26%,$263.79,$46.88,Cash
Y39614827,Joint WROS - TOD,PEP,PEPSICO INC,5.3470,$167.28,-$2.46,$894.44,-$13.15,-1.45%,+$184.90,+26.05%,0.51%,$709.54,$132.70,Cash
Y39614827,Joint WROS - TOD,AEP,AMERICAN ELEC PWR CO INC COM,4.3278,$133.29,-$0.53,$576.85,-$2.29,-0.40%,+$183.37,+46.60%,0.33%,$393.48,$90.92,Cash
Y39614827,Joint WROS - TOD,CME,CME GROUP INC COM,1.8489,$326.46,+$6.96,$603.59,+$12.87,+2.17%,+$182.38,+43.29%,0.35%,$421.22,$227.82,Cash
Y39614827,Joint WROS - TOD,TJX,TJX COMPANIES INC,4.0990,$159.94,-$1.72,$655.59,-$7.05,-1.07%,+$180.97,+38.12%,0.38%,$474.63,$115.79,Cash
Y39614827,Joint WROS - TOD,BA,BOEING CO,2.3320,$229.74,+$2.21,$535.76,+$5.15,+0.97%,+$180.58,+50.84%,0.31%,$355.18,$152.30,Cash
Y39614827,Joint WROS - TOD,MS,MORGAN STANLEY COM USD0.01,3.3734,$167.00,+$0.49,$563.36,+$1.65,+0.29%,+$177.58,+46.03%,0.32%,$385.79,$114.36,Cash
Y39614827,Joint WROS - TOD,USB,US BANCORP,10.5847,$54.63,-$0.03,$578.24,-$0.32,-0.06%,+$177.09,+44.14%,0.33%,$401.15,$37.90,Cash
Y39614827,Joint WROS - TOD,CVX,CHEVRON CORP NEW COM,4.0068,$189.60,+$2.84,$759.69,+$11.38,+1.52%,+$176.23,+30.20%,0.44%,$583.46,$145.62,Cash
Y39614827,Joint WROS - TOD,FDX,FEDEX CORP COM USD0.10,1.0926,$387.25,+$0.25,$423.11,+$0.27,+0.06%,+$174.74,+70.35%,0.24%,$248.38,$227.33,Cash
Y39614827,Joint WROS - TOD,DE,DEERE & CO,0.7597,$630.88,+$1.17,$479.28,+$0.89,+0.18%,+$170.03,+54.98%,0.27%,$309.25,$407.07,Cash
Y39614827,Joint WROS - TOD,PNC,PNC FINANCIAL SERVICES GROUP COM USD5,2.8135,$214.23,+$1.88,$602.73,+$5.29,+0.88%,+$168.17,+38.69%,0.35%,$434.56,$154.46,Cash
Y39614827,Joint WROS - TOD,DELL,DELL TECHNOLOGIES INC CL C,2.2279,$153.55,+$5.47,$342.09,+$12.19,+3.69%,+$162.24,+90.20%,0.20%,$179.85,$80.73,Cash
Y39614827,Joint WROS - TOD,TT,TRANE TECHNOLOGIES PLC COM USD1,1.1780,$466.17,+$3.85,$549.13,+$4.53,+0.83%,+$158.31,+40.50%,0.32%,$390.83,$331.78,Cash
Y39614827,Joint WROS - TOD,V,VISA INC,5.9786,$320.51,+$0.37,"$1,916.21",+$2.21,+0.11%,+$158.20,+8.99%,1.10%,"$1,758.01",$294.05,Cash
Y39614827,Joint WROS - TOD,ROK,ROCKWELL AUTOMATION INC COM USD1,0.9868,$412.15,+$4.70,$406.69,+$4.64,+1.15%,+$156.47,+62.53%,0.23%,$250.22,$253.58,Cash
Y39614827,Joint WROS - TOD,MPC,MARATHON PETROLEUM CORP COM USD0.01,1.7448,$209.82,+$11.61,$366.09,+$20.26,+5.85%,+$150.50,+69.81%,0.21%,$215.58,$123.56,Cash
Y39614827,Joint WROS - TOD,CEG,CONSTELLATION ENERGY CORP COM,1.2480,$327.16,-$2.72,$408.28,-$3.40,-0.83%,+$147.78,+56.72%,0.23%,$260.51,$208.74,Cash
Y39614827,Joint WROS - TOD,PSX,PHILLIPS 66,2.6991,$160.18,+$5.85,$432.34,+$15.79,+3.79%,+$147.65,+51.86%,0.25%,$284.69,$105.48,Cash
Y39614827,Joint WROS - TOD,TFC,TRUIST FINL CORP COM,10.4396,$49.55,+$0.24,$517.28,+$2.50,+0.48%,+$147.20,+39.77%,0.30%,$370.08,$35.45,Cash
Y39614827,Joint WROS - TOD,PLD,PROLOGIS INC. COM,3.6961,$142.72,+$0.15,$527.51,+$0.55,+0.10%,+$143.85,+37.49%,0.30%,$383.65,$103.80,Cash
Y39614827,Joint WROS - TOD,APP,APPLOVIN CORP COM CL A,0.8792,$432.98,-$1.79,$380.68,-$1.57,-0.42%,+$141.80,+59.36%,0.22%,$238.88,$271.69,Cash
Y39614827,Joint WROS - TOD,T,AT&T INC COM USD1,23.5270,$28.01,$0.00,$658.99,$0.00,0.00%,+$141.60,+27.36%,0.38%,$517.39,$21.99,Cash
Y39614827,Joint WROS - TOD,OVV,OVINTIV INC COM ISIN #US69047Q1022 SEDOL #BL3GRC2,7.9266,$52.16,+$1.57,$413.45,+$12.44,+3.10%,+$139.51,+50.93%,0.24%,$273.93,$34.56,Cash
Y39614827,Joint WROS - TOD,COST,COSTCO WHOLESALE CORP COM,1.3880,$1002.77,-$8.02,"$1,391.80",-$11.13,-0.80%,+$137.54,+10.96%,0.80%,"$1,254.27",$903.68,Cash
Y39614827,Joint WROS - TOD,SCHW,SCHWAB CHARLES CORP COM,6.1186,$95.49,+$0.29,$584.27,+$1.77,+0.30%,+$137.33,+30.72%,0.34%,$446.94,$73.05,Cash
Y39614827,Joint WROS - TOD,RCL,ROYAL CARIBBEAN GROUP COM USD0.01,1.3982,$300.84,-$10.12,$420.63,-$14.15,-3.26%,+$134.69,+47.10%,0.24%,$285.95,$204.51,Cash
Y39614827,Joint WROS - TOD,WMB,WILLIAMS COS INC COM,5.5672,$76.26,+$1.54,$424.55,+$8.57,+2.06%,+$134.35,+46.29%,0.24%,$290.20,$52.13,Cash
Y39614827,Joint WROS - TOD,NSC,NORFOLK SOUTHN CORP COM,1.3402,$317.47,+$2.73,$425.46,+$3.66,+0.86%,+$134.11,+46.03%,0.24%,$291.35,$217.40,Cash
Y39614827,Joint WROS - TOD,TDY,TELEDYNE TECHNOLOGIES INC,0.5685,$688.59,+$7.49,$391.46,+$4.26,+1.09%,+$128.35,+48.78%,0.22%,$263.11,$462.82,Cash
Y39614827,Joint WROS - TOD,COF,CAPITAL ONE FINANCIAL CORP COM USD0.01,3.8313,$194.32,-$1.32,$744.50,-$5.06,-0.68%,+$126.90,+20.54%,0.43%,$617.59,$161.20,Cash
Y39614827,Joint WROS - TOD,MLM,MARTIN MARIETTA MATERIALS INC COM USD0.01,0.6539,$665.35,-$10.39,$435.05,-$6.79,-1.54%,+$124.85,+40.24%,0.25%,$310.20,$474.41,Cash
Y39614827,Joint WROS - TOD,O,REALTY INCOME CORP COM,8.0682,$67.56,+$0.56,$545.09,+$4.52,+0.83%,+$124.38,+29.56%,0.31%,$420.71,$52.14,Cash
Y39614827,Joint WROS - TOD,ULTA,ULTA BEAUTY INC COM,0.3722,$677.00,-$7.79,$251.96,-$2.90,-1.14%,+$119.74,+90.55%,0.14%,$132.22,$355.27,Cash
Y39614827,Joint WROS - TOD,KEY,KEYCORP COM,16.8040,$20.91,+$0.17,$351.37,+$2.86,+0.81%,+$119.65,+51.63%,0.20%,$231.72,$13.79,Cash
Y39614827,Joint WROS - TOD,FANG,DIAMONDBACK ENERGY INC COM USD0.01,2.3867,$178.96,+$4.88,$427.12,+$11.65,+2.80%,+$119.56,+38.87%,0.25%,$307.56,$128.86,Cash
Y39614827,Joint WROS - TOD,TMO,THERMO FISHER SCIENTIFIC INC,1.5416,$508.58,-$12.53,$784.03,-$19.32,-2.41%,+$118.72,+17.84%,0.45%,$665.30,$431.57,Cash
Y39614827,Joint WROS - TOD,MDT,MEDTRONIC PLC,6.7076,$98.10,+$0.44,$658.01,+$2.95,+0.45%,+$114.64,+21.09%,0.38%,$543.38,$81.01,Cash
Y39614827,Joint WROS - TOD,MPWR,MONOLITHIC POWER SYSTEMS INC,0.2049,$1142.58,-$0.16,$234.07,-$0.03,-0.02%,+$110.50,+89.42%,0.13%,$123.57,$603.18,Cash
Y39614827,Joint WROS - TOD,MO,ALTRIA GROUP INC,7.1037,$68.69,-$0.35,$487.95,-$2.49,-0.51%,+$107.49,+28.25%,0.28%,$380.46,$53.56,Cash
Y39614827,Joint WROS - TOD,BRKB,BERKSHIRE HATHAWAY INC COM USD0.0033 CLASS B,5.4272,$480.17,-$24.78,"$2,605.98",-$134.49,-4.91%,+$107.47,+4.30%,1.49%,"$2,498.51",$460.37,Cash
Y39614827,Joint WROS - TOD,DAL,DELTA AIR LINES INC,4.5446,$64.25,-$1.45,$291.99,-$6.59,-2.21%,+$107.07,+57.90%,0.17%,$184.92,$40.69,Cash
Y39614827,Joint WROS - TOD,ILMN,ILLUMINA INC COM USD0.01,1.9633,$132.89,-$1.57,$260.90,-$3.08,-1.17%,+$106.75,+69.25%,0.15%,$154.15,$78.52,Cash
Y39614827,Joint WROS - TOD,ITW,ILLINOIS TOOL WORKS INC COM,1.6696,$291.17,+$0.54,$486.15,+$0.90,+0.18%,+$105.17,+27.60%,0.28%,$380.98,$228.18,Cash
Y39614827,Joint WROS - TOD,ON,ON SEMICONDUCTOR CORP COM USD0.01,3.9744,$66.48,$0.00,$264.22,$0.00,0.00%,+$104.54,+65.47%,0.15%,$159.67,$40.18,Cash
Y39614827,Joint WROS - TOD,CMCSA,COMCAST CORP,21.0686,$30.82,-$0.14,$649.33,-$2.95,-0.46%,+$104.54,+19.18%,0.37%,$544.79,$25.86,Cash
Y39614827,Joint WROS - TOD,EBAY,EBAY INC. COM,3.9846,$88.78,-$2.08,$353.75,-$8.29,-2.29%,+$103.68,+41.45%,0.20%,$250.07,$62.76,Cash
Y39614827,Joint WROS - TOD,ADI,ANALOG DEVICES INC COM,1.1694,$352.41,-$3.38,$412.12,-$3.95,-0.95%,+$103.03,+33.33%,0.24%,$309.09,$264.31,Cash
Y39614827,Joint WROS - TOD,ED,CONSOLIDATED EDISON INC COM USD0.10,4.3158,$112.06,-$0.46,$483.63,-$1.99,-0.41%,+$101.70,+26.62%,0.28%,$381.93,$88.50,Cash
Y39614827,Joint WROS - TOD,SRE,SEMPRA COM,3.7405,$95.67,-$0.60,$357.85,-$2.24,-0.63%,+$101.55,+39.62%,0.21%,$256.30,$68.52,Cash
Y39614827,Joint WROS - TOD,NET,CLOUDFLARE INC CL A COM,1.4545,$181.02,+$8.83,$263.30,+$12.84,+5.12%,+$100.41,+61.64%,0.15%,$162.89,$111.99,Cash
Y39614827,Joint WROS - TOD,GD,GENERAL DYNAMICS CORP COM,1.0704,$364.78,+$7.73,$390.47,+$8.27,+2.16%,+$99.91,+34.38%,0.22%,$290.56,$271.44,Cash
Y39614827,Joint WROS - TOD,COR,CENCORA INC COM,1.0516,$372.65,+$0.51,$391.89,+$0.54,+0.13%,+$99.48,+34.02%,0.22%,$292.41,$278.06,Cash
Y39614827,Joint WROS - TOD,EVRG,EVERGY INC COM,4.2339,$84.01,+$0.35,$355.69,+$1.48,+0.41%,+$99.36,+38.76%,0.20%,$256.32,$60.54,Cash
Y39614827,Joint WROS - TOD,HIG,"THE HARTFORD INSURANCE GROUP, INC. COMMON STOCK",3.1515,$141.86,+$1.63,$447.07,+$5.14,+1.16%,+$99.31,+28.55%,0.26%,$347.76,$110.35,Cash
Y39614827,Joint WROS - TOD,EXC,EXELON CORP COM NPV,8.6658,$49.17,+$0.12,$426.09,+$1.04,+0.24%,+$99.26,+30.37%,0.24%,$326.84,$37.72,Cash
Y39614827,Joint WROS - TOD,MCD,MCDONALD S CORP,2.4020,$334.82,-$6.24,$804.25,-$14.99,-1.83%,+$98.45,+13.94%,0.46%,$705.80,$293.83,Cash
Y39614827,Joint WROS - TOD,HPE,HEWLETT PACKARD ENTERPRISE CO COM,12.0819,$22.13,+$0.66,$267.37,+$7.97,+3.07%,+$97.75,+57.63%,0.15%,$169.62,$14.04,Cash
Y39614827,Joint WROS - TOD,VMC,VULCAN MATERIALS CO,1.2667,$306.20,-$3.80,$387.88,-$4.81,-1.23%,+$97.28,+33.47%,0.22%,$290.60,$229.41,Cash
Y39614827,Joint WROS - TOD,HON,HONEYWELL INTERNATIONAL INC COM USD1,1.6935,$248.04,+$4.45,$420.07,+$7.54,+1.82%,+$96.28,+29.73%,0.24%,$323.79,$191.19,Cash
Y39614827,Joint WROS - TOD,UPS,UNITED PARCEL SERVICE INC CL B,3.1959,$114.42,-$1.54,$365.67,-$4.92,-1.33%,+$96.22,+35.71%,0.21%,$269.45,$84.31,Cash
Y39614827,Joint WROS - TOD,BIIB,BIOGEN INC COM USD0.0005,1.7209,$188.05,-$3.77,$323.61,-$6.49,-1.97%,+$96.04,+42.20%,0.19%,$227.57,$132.24,Cash
Y39614827,Joint WROS - TOD,REGN,REGENERON PHARMACEUTICALS INC,0.4183,$790.81,+$9.14,$330.77,+$3.82,+1.16%,+$93.06,+39.15%,0.19%,$237.70,$568.31,Cash
Y39614827,Joint WROS - TOD,LIN,LINDE PLC COM EUR0.001,1.0602,$509.34,+$1.26,$539.99,+$1.34,+0.24%,+$88.75,+19.66%,0.31%,$451.24,$425.63,Cash
Y39614827,Joint WROS - TOD,BLK,BLACKROCK INC COM,0.5668,$1068.31,+$5.08,$605.51,+$2.88,+0.47%,+$86.67,+16.70%,0.35%,$518.83,$915.39,Cash
Y39614827,Joint WROS - TOD,UNP,UNION PAC CORP COM,1.7209,$266.97,+$1.99,$459.42,+$3.42,+0.75%,+$84.95,+22.68%,0.26%,$374.47,$217.60,Cash
Y39614827,Joint WROS - TOD,EA,ELECTRONIC ARTS INC,1.3384,$201.06,+$0.49,$269.11,+$0.66,+0.24%,+$84.78,+45.99%,0.15%,$184.33,$137.72,Cash
Y39614827,Joint WROS - TOD,DOW,DOW INC COM,9.4682,$30.60,-$0.13,$289.72,-$1.23,-0.43%,+$84.58,+41.22%,0.17%,$205.15,$21.67,Cash
Y39614827,Joint WROS - TOD,ECL,ECOLAB INC,1.2070,$303.46,-$4.89,$366.27,-$5.90,-1.59%,+$84.06,+29.78%,0.21%,$282.21,$233.82,Cash
Y39614827,Joint WROS - TOD,HOOD,ROBINHOOD MKTS INC COM CL A,2.6308,$78.78,+$2.93,$207.25,+$7.71,+3.86%,+$83.51,+67.48%,0.12%,$123.75,$47.04,Cash
Y39614827,Joint WROS - TOD,ATO,ATMOS ENERGY CORP COM NPV,1.7840,$187.07,+$0.28,$333.74,+$0.50,+0.14%,+$81.85,+32.49%,0.19%,$251.89,$141.19,Cash
Y39614827,Joint WROS - TOD,SLB,SLB LIMITED TRADING,4.2953,$51.27,-$0.07,$220.22,-$0.30,-0.14%,+$80.26,+57.34%,0.13%,$139.96,$32.59,Cash
Y39614827,Joint WROS - TOD,MMM,3M CO,2.6410,$161.46,-$3.86,$426.42,-$10.20,-2.34%,+$79.73,+22.99%,0.24%,$346.69,$131.27,Cash
Y39614827,Joint WROS - TOD,VST,VISTRA CORP COM,1.5570,$165.99,-$7.90,$258.44,-$12.30,-4.55%,+$79.52,+44.44%,0.15%,$178.92,$114.92,Cash
Y39614827,Joint WROS - TOD,MNST,MONSTER BEVERAGE CORP NEW COM,3.4742,$81.06,-$4.24,$281.62,-$14.73,-4.98%,+$78.34,+38.54%,0.16%,$203.27,$58.51,Cash
Y39614827,Joint WROS - TOD,DTE,DTE ENERGY CO,2.9040,$147.65,-$0.59,$428.77,-$1.71,-0.40%,+$76.76,+21.80%,0.25%,$352.01,$121.22,Cash
Y39614827,Joint WROS - TOD,BAC,BANK AMERICA CORP COM,15.9060,$49.81,-$0.02,$792.28,-$0.32,-0.05%,+$76.75,+10.72%,0.45%,$715.53,$44.98,Cash
